iata,name,city,country,lat,lng,timezone
RHD,Termas de Río Hondo international Airport,Rio Hondo,Argentina,-27.4966,-64.93595,America/Cordoba
KMP,Keetmanshoop Airport,Keetmanshoop,Namibia,-26.5398006439209,18.111400604248047,Africa/Windhoek
KGT,Kangding Airport,Kangding,China,30.1575,101.734722,Asia/Shanghai
VUS,Velikiy Ustyug Airport,Veliky Ustyug,Russia,60.788299560546875,46.2599983215332,Europe/Moscow
IOW,Iowa City Municipal Airport,Iowa City,United States,41.639198303200004,-91.5465011597,America/Chicago
TLQ,Turpan Jiaohe Airport,Turpan,China,43.0308,89.0987,Asia/Shanghai
ANP,Lee Airport,Annapolis,United States,38.942902,-76.568398,America/New_York
FXO,Cuamba Airport,Cuamba,Mozambique,-14.815,36.529999,Africa/Maputo
ODO,Bodaybo Airport,Bodaibo,Russia,57.866100311299995,114.242996216,Asia/Irkutsk
ZTR,Zhytomyr Airport,Zhytomyr,Ukraine,50.270556,28.738611,Europe/Kiev
HRI,Mattala Rajapaksa International Airport,Mattala,Sri Lanka,6.284467,81.124128,Asia/Colombo
PEQ,Pecos Municipal Airport,Pecos,United States,31.382400512695,-103.51100158691,America/Chicago
HBG,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,United States,31.26479912,-89.25279999,America/Chicago
QCJ,Botucatu - Tancredo de Almeida Neves Airport,Botucatu,Brazil,-22.939501,-48.467999,America/Sao_Paulo
QSC,Mário Pereira Lopes–São Carlos Airport,Sao Carlos,Brazil,-21.875401,-47.903703,America/Sao_Paulo
YKN,Chan Gurney Municipal Airport,Yankton,United States,42.916698455811,-97.385902404785,America/Chicago
XSB,Sir Bani Yas Airport,Sir Bani Yas Island,United Arab Emirates,24.283611,52.580278,Asia/Dubai
ZBM,Bromont (Roland Desourdy) Airport,Bromont,Canada,45.2907981873,-72.74140167239999,America/Toronto
KTI,Kratie Airport,Kratie,Cambodia,12.48799991607666,106.05500030517578,Asia/Phnom_Penh
GYU,Guyuan Liupanshan Airport,Guyuan,China,36.0788888889,106.216944444,Asia/Shanghai
CNI,Changhai Airport,Changhai,China,39.2666666667,122.666944444,Asia/Shanghai
KRH,Redhill Aerodrome,Redhill,United Kingdom,51.2136001587,-0.138611003757,Europe/London
JGD,Jiagedaqi Airport,Jiagedaqi District,China,50.371389,124.1175,Asia/Shanghai
CCL,Chinchilla Airport,Chinchilla,Australia,-26.774999618530273,150.61700439453125,Australia/Brisbane
HWD,Hayward Executive Airport,Hayward,United States,37.659198761,-122.122001648,America/Los_Angeles
MZP,Motueka Airport,Motueka,New Zealand,-41.12329864501953,172.98899841308594,Pacific/Auckland
JHQ,Shute Harbour Airport,Shute Harbour,Australia,-20.277221,148.755556,Australia/Brisbane
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States,42.2229995728,-83.74559783939999,America/New_York
SHT,Shepparton Airport,Shepparton,Australia,-36.42890167236328,145.39300537109375,Australia/Hobart
